date,startup,vertical,subvertical,city,investors,round,amount
18-11-2015,Ola,Car Aggregator & Retail Mobile App,,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,50
18-11-2015,Goodbox,conversational commerce mobile app,,Bangalore,Nexus Venture Partners,Private Equity,0.25
18-11-2015,ScoopWhoop,Viral Content web Platform,,New Delhi,Kalaari Capital,Private Equity,0.4
19-11-2015,UrbanClap,Mobile Services Marketplace,,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,2.5
19-11-2015,SenseGiz,Smartwatch Maker,,Belgaum,Karnataka Semiconductor Venture Capital firm,Angel Round,0.05
19-11-2015,Fourseven,Online Jewellery etailer,,New Delhi,Indian Angel Network,Angel Round,0.05
20-11-2015,MindTickle,Sales & Productivity Software,,Pune / US,New Enterprise Associates,Private Equity,1.25
20-11-2015,Medinfi,Health-Tech platform,,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Angel Round,0.03
20-11-2015,OUWT,Nightlife Discovery Mobile App,,Mumbai,Undisclosed investors,Angel Round,0.02
20-11-2015,HeyPillow,Online Real Estate Marketplace,,Bangalore,Hampton Capital,Private Equity,0.3
21-11-2015,Caravan Craft,Indian Ethnic Crafts Etailer,,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,0.12
21-11-2015,Talkoot,Social platform for traders and investors,,Bangalore,Undisclosed investors,Angel Round,0.01
23-11-2015,RentoMojo,"Online Furniture, Home Appliances Rental Platform",,Bangalore,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Private Equity,0.2
23-11-2015,Medikoe,Healthcare Services Discovery platform,,Bangalore,Anil Menon,Angel Round,0.01
24-11-2015,Stylofie,Health and Beauty Services Marketplace,,Gurgaon,Swastika,Angel Round,0.03
24-11-2015,Naaptol,Online and TV Shopping Marketplace,,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,5.2
25-11-2015,EarlySalary.com,Mobile App based Loan disbursement platform,,Mumbai,Ashok Agarwal,Angel Round,0.15
25-11-2015,Tooler,On Demand Laundry Services App,,New Delhi,"Raghu Khanna, Sameer Gupta",Angel Round,0.01
25-11-2015,S Chand,Education Content Provider,,New Delhi,IFC Everstone Group,Private Equity,2.7
26-11-2015,GoQii,Fitness Tracking Management Solutions,,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,1.34
26-11-2015,Grofers,Hyper-local Grocery Delivery platform,,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,12
26-11-2015,Pluss,Hyperlocal healthcare product Delivery Service provider,,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,0.1
30-11-2015,Baxi,Two-Wheeler Taxi Service,,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Angel Round,0.15
30-11-2015,Superhero Brands,character merchandize sales platform,,Mumbai,DSG Consumer Partners,Angel Round,0.05
30-11-2015,QikPod,Ecommerce Delivery locker services,,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,0.9
10-01-2015,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Angel Round,0.04
10-02-2015,Shopalyst,Product discovery & recommendation platform,,Bangalore,Kalaari Capital,Private Equity,0.2
10-03-2015,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,0.6
10-05-2015,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,0.95
10-05-2015,Voylla,Fashion jewelry and accessories e-tailer,,Jaipur,Peepul Capital,Private Equity,1.5
10-05-2015,IndiaLends,Online Consumer Lending platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,0.1
10-05-2015,Rock N Shop,Premium Apparel shopping portal,,New Delhi,High Networth Individuals (undisclosed),Angel Round,0.02
10-06-2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,Pune,"Uniqorn ventures, ASP Consulting",Angel Round,0.07
10-06-2015,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Angel Round,0.05
10-06-2015,SportzVillage,Sports Management & Physical Education Business,,Bangalore,Gaja Capital Private Equity Fund,Private Equity,1
10-06-2015,Burger Singh,QSR & Online delivery portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Angel Round,0.05
10-06-2015,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,0.6
10-07-2015,SchoolGuru,E-Learning Service Provider,,Mumbai,High Networth Individuals from India & USA,Private Equity,0.3
10-07-2015,GoJavas,Delivery & Logistics Service provider,,Gurgaon,Snapdeal,Private Equity,2
10-08-2015,ZuperMeal,Home Cooked Food marketplace & Delivery,,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,0.2
10-08-2015,Cube26,Gesture based Mobile Development,,New Delhi,"Tiger Global Management, Flipkart",Private Equity,0.77
10-08-2015,Grabhouse,Rental Accommodation Search platform,,Bangalore,Sequoia and Kalaari Capital.,Private Equity,1
10-08-2015,Quifers,Logistics Tech Platform,,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Angel Round,0.03
10-09-2015,Stockroom.io,Developer Portfolio Showcase platform,,Hyderabad,Undisclosed Investors,Angel Round,0.01
10-09-2015,Cloud Lending,End-to-End Lending platform,,Bangalore / San Mateo,SF Capital Group,Private Equity,0.8
10-09-2015,Inayo,on-demand healthcare marketplace,,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Angel Round,0.03
10-09-2015,Kulzy,Advertising & Marketing Community Networking platform,,New Delhi,"Seedfund, Bedrock Ventures",Angel Round,0.1
10-09-2015,Zeppery,Food Ordering & Delivery App,,New Delhi,Suyash Sharma,Angel Round,0.01
10-12-2015,Zify,Ride Sharing platform,,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Angel Round,0.02
10-12-2015,Gridle,Cloud Based Collaboration platform,,Ahmedabad,LetsVenture,Angel Round,0.01
13-10-2015,Voodoo,Mobile Only Shopping Assistant,,New Delhi,SAIF Partners,Angel Round,0.1
13-10-2015,Lookup,Mobile Messaging Assistant App,,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,0.25
14-10-2015,AskMyGift,Personalized Wish List creator app,,Noida,Turning Ideas,Angel Round,0.01
14-10-2015,Zappfresh,Raw Meat & Ready to eat food etailer,,Gurgaon,Undisclosed Investors,Angel Round,0.01
17-10-2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,,Mumbai,Parampara Capital,Private Equity,0.1
19-10-2015,Citrus Payment,Payments Solution platform,,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,2.5
19-10-2015,Holidify,Travel Destination Discovery platform,,New Delhi,Aarti Group,Angel Round,0.01
20-10-2015,Opinio,Last Mile Delivery Service,,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,0.7
20-10-2015,Attune Technologies,Healthcare IT Solutions & services,,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,1
21-10-2015,AgentDesks,Real Estate Mobile CRM,,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Angel Round,0.3
21-10-2015,White Owl Brewery,Micro-Brewery,,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,0.15
21-10-2015,MealHopper,Home Made Food Marketplace,,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Angel Round,0.01
21-10-2015,Zenify.in,residential rental management platform,,Bangalore,"Atul Jalan, Shrikanth & Bharath",Angel Round,0.06
23-10-2015,Medd,Personal Diagnostic Mobile App,,Mumbai,Group of Angel investors,Angel Round,0.02
23-10-2015,Leaping Caravan,Online food ordering & Delivery service,,Gurgaon,Group of Angel investors,Angel Round,0.02
23-10-2015,Frsh,Online food ordering & Delivery service,,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,0.1
23-10-2015,Qik Stay,Hotel Aggregator & booking platform,,New Delhi,ID Enablers Pvt Ltd,Angel Round,0.03
26-10-2015,Parcelled,Online Logistics Platform,,Bangalore,Delhivery,Private Equity,0.5
26-10-2015,AlmaMapper,Online Student & Campus Social Networking platform,,Ahmedabad,Oswal Techno Ventures LLP,Angel Round,0.04
26-10-2015,Flexing It,Professionals & Project Search Marketplace,,New Delhi,undisclosed private investors,Angel Round,0.05
26-10-2015,Netmeds.com,Online Pharmacy,,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,5
26-10-2015,Razorpay,Online Payment Gateway,,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,0.9
27-10-2015,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,,Mumbai,Unnamed investor,Angel Round,0.01
27-10-2015,Care24,Professional Health Services Platform,,Mumbai,India Quotient,Angel Round,0.04
27-10-2015,Roadrunnr,Hyperlocal Logistics Service,,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,1
28-10-2015,ORIGA Leasing,Asset Financing platform,,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Angel Round,0.11
28-10-2015,Smartivity.in,Virtual Reality activity based learning platform,,New Delhi,S Chand and Co Pvt Ltd,Angel Round,0.02
29-10-2015,ZopHop,Public Commute helper App,,Mumbai,"Amit Singhal, PK Gulati & others",Angel Round,0.05
30-10-2015,LiftO,Ridesharing Mobile app,,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Angel Round,0.01
30-10-2015,TinyOwl,Food Discovery & Delivery Mobile app,,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,0.75
30-10-2015,Toppr.com,Competitive exam learning platform,,Mumbai,InnoVen Capital,Private Equity,0.2
30-10-2015,Kleeto,Document Digitization platform,,Gurgaon,GREX,Angel Round,0.02
30-10-2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,,Mumbai,Puneet Bhatia & others,Angel Round,0.01
31-10-2015,Jugnoo,Autorickshaw Aggregator & Booking platform,,Chandigarh,Paytm,Private Equity,1
09-01-2015,TOFlo,FinTech Startup Incubation platform,,Mumbai,Tania Johny Palathinkal,Angel Round,0.01
09-01-2015,Stylecracker,Personalized Styling platform,,Mumbai,Group of HNI investors,Private Equity,0.1
09-01-2015,Luxuryhues,Luxury goods\\xc2\\xa0 Shopping Platform,,Gurgaon,Reliance Capital,Private Equity,0.09
09-02-2015,Zivame,Online Lingerie Marketplace,,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,4
09-02-2015,Capillary Tech,Cloud software solutions,,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,4.5
09-03-2015,Jobspire,Job Search Platform,,Bangalore,Purvi Capital,Angel Round,0.03
09-03-2015,Vistaar Finance,Small Business Financing (NBFC),,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,4
09-04-2015,Clapsnslaps,Online Movie Review Platform,,Mumbai,R M Picture Company Pvt. Ltd.,Angel Round,0.02
09-04-2015,Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,,Mumbai,Ashish Jhalani,Angel Round,0.01
09-04-2015,RoomCentral,Cloud-based Hotel Booking Platform,,Bangalore,Karanpal Singh,Angel Round,0.2
09-07-2015,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,"Raghav Bahl, Ritu Kapur",Angel Round,0.06
09-07-2015,Prozo,Study Material Marketplace,,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Angel Round,0.02
09-07-2015,Zomato,Restaurant Ratings & Reviews platform,,Gurgaon,"Temasek, Vy Capital",Private Equity,6
09-07-2015,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Acumen Fund,Private Equity,0.18
09-08-2015,MockBank,Government Test Preparation platform,,Bangalore,Blume Ventures,Angel Round,0.04
09-10-2015,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,0.08
09-10-2015,IndustryBuying,Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,0.92
09-10-2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Angel Round,0.03
09-11-2015,FitMeIn,Gym & Fitness Studios Subscription platform,,New Delhi,Green House Ventures,Angel Round,0.01
09-12-2015,CredR,Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,1.5
14-09-2015,CanvasFlip,Mobile App testing platform,,Hyderabad,Bessemer Venture Partners,Angel Round,0.12
14-09-2015,Shadowfax,Hyperlocal Delivery Services,,Gurgaon,Eight Roads Ventures,Private Equity,0.9
14-09-2015,UE Life Sciences,Early Cancer Detection Solutions,,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,0.3
14-09-2015,Ola Cabs,Cab rental Mobile app,,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,22.5
15-09-2015,Coverfox,Online Insurance Distribution Platform,,Mumbai,Cataraman Ventures,Private Equity,0.2
15-09-2015,MoEngage,Mobile Marketing Automation Platform,,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,0.43
15-09-2015,Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Angel Round,0.1
15-09-2015,Room on Call,Branded Budget Hotel Marketplace,,Noida,Payal Syal,Angel Round,0.03
16-09-2015,ChaiPoint,Food Subscription platform,,Bangalore,Eight Roads Ventures,Private Equity,1
16-09-2015,WedmeGood.com,Wedding Planning Platform,,Gurgaon,Indian Angel Network,Angel Round,0.04
16-09-2015,XSTOK,B2B Mobile Auction Marketplace,,Mumbai,Oliphans Capital,Angel Round,0.05
17-09-2015,YepMe,Private label Fashion eTailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,7.5
17-09-2015,Bueno,Online Food ordering & delivery,,Gurgaon,High Networth Individuals (No details),Angel Round,0.06
18-09-2015,Plabro,Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Angel Round,0.04
18-09-2015,CureJoy,Online Health & Wellness platform,,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,0.12
18-09-2015,Briston Technomach,Internet of Things platform,,New Delhi,Undisclosed,Angel Round,0.02
18-09-2015,LabStreet,Diagnostic Labs aggregator platform,,Gurgaon,Multiple investors,Angel Round,0.02
21-09-2015,Portea Medical,Home Medical Care Services,,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,3.75
21-09-2015,Neotrade Analytics,Real-Time stock data platform,,Bangalore,Rainmatter,Angel Round,0.02
21-09-2015,LafaLafa,coupons and cashback aggregator app,,Mumbai,500 Startups,Angel Round,0.01
22-09-2015,Bestdealfinance,Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,0.3
22-09-2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",,Bangalore,Swarnim Multiventures,Private Equity,0.08
22-09-2015,Furdo,Online Interior Designing platform,,Bangalore,Bhavdeep Reddy,Angel Round,0.04
22-09-2015,LogiNext,End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,1
22-09-2015,Korra,Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani & Others,Angel Round,0.03
23-09-2015,SilverPush,Cross-device retargeting platform,,Gurgaon / SFO,M&S Partners,Private Equity,0.12
23-09-2015,Juggernaut,Digital & Physical Publishing platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,0.23
23-09-2015,InnerChef,Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,0.18
24-09-2015,Quintype,Data Driven Publishing platform,,Bangalore,Raghav Bahl,Private Equity,0.33
24-09-2015,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Angel Round,0.04
24-09-2015,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,0.2
24-09-2015,Licious,Online Meat Ordering platform,,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Angel Round,0.1
28-09-2015,Ola Cabs,Cab Booking app platform,,Bangalore,Didi Kuaidi,Private Equity,3
29-09-2015,Paytm,E-Commerce & M-Commerce platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,68
29-09-2015,Inmobi,Mobile Advertising platform,,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,10
29-09-2015,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,3.6
29-09-2015,Zakoopi,Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Angel Round,0.04
30-09-2015,Infoworks,Big Data Management Platform,,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,0.5
30-09-2015,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Angel Round,0.1
30-09-2015,Eywa Media,Digital Signal processing platform,,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Angel Round,0.1
08-01-2015,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,50
08-01-2015,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Angel Round,0.04
08-03-2015,Connect India,ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,0.5
08-03-2015,Oyorooms,Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,\\xc2\\xa0 Lightspeed India",Private Equity,10
08-03-2015,Wizrocket,User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,0.96
08-04-2015,Pickingo,On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,0.13
08-05-2015,Grex,fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Angel Round,0.07
08-05-2015,LetsTransport,Logistics Tech Platform,,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Angel Round,0.13
08-05-2015,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,3
08-05-2015,Doormint,Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,0.3
08-05-2015,NightStay,hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Angel Round,0.05
08-05-2015,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Angel Round,0.08
08-06-2015,Appvigil,App security\\xc2\\xa0 testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Angel Round,0.05
08-06-2015,practo,Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,9
08-06-2015,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Angel Round,0.07
08-06-2015,Ezetap,Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,2.5
08-07-2015,Carl\\xe2\\x80\\x99s Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Angel Round,0.06
08-07-2015,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,0.05
08-10-2015,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,0.05
08-10-2015,eSadar,ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Angel Round,0.01
08-10-2015,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Angel Round,0.03
08-10-2015,NearBuy (previously\\xc2\\xa0 groupon India),Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,1.6
08-10-2015,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Angel Round,0.03
08-10-2015,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,0.1
08-10-2015,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,3
08-11-2015,Livspace,Home Design & D\\xc3\\xa9cor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,0.8
08-11-2015,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Angel Round,0.16
08-11-2015,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Angel Round,0.01
08-11-2015,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,2
08-11-2015,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,6.3
08-12-2015,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,0.75
08-12-2015,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,5
08-12-2015,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Angel Round,0.08
08-12-2015,Scripbox,Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,0.25
13-08-2015,etaout,Ecommerce Marketing Software Platform,,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors",Angel Round,0.05
13-08-2015,IFMR Holdings,Financial Inclusion platform,,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,2.5
13-08-2015,Agrostar,Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,0.4
14-08-2015,VoxWeb,Picture based Social App,,Mumbai,Jitendra Gupta & others,Angel Round,0.01
14-08-2015,Trukky,Logistics service platform,,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Angel Round,0.02
17-08-2015,Edu4Share,Exam Preparation Platform,,New Delhi,Nalin Jain & other angel investors,Angel Round,0.02
17-08-2015,Sampurnearth,Waste Management Solutions,,Mumbai,"Intellecap Impact Investment Network, family office fund",Angel Round,0.02
17-08-2015,ShadowFax,on-demand delivery service,,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Angel Round,0.03
18-08-2015,Roposo,Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,1.5
18-08-2015,IntelligenceNODE,Data Analytics Platform,,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,0.42
18-08-2015,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,"NEA, Milliways Ventures, Naya Ventures",Angel Round,0.1
18-08-2015,Zoojoo.be,Corporate Wellness App,,Bangalore,RoundGlass Partners,Private Equity,0.1
19-08-2015,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,Unilazer Ventures,Private Equity,0.24
19-08-2015,MebelKart,Online Furniture Marketplace,,Bangalore,AskMe,Private Equity,2
20-08-2015,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Angel Round,0.02
20-08-2015,Flatpebble,Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Angel Round,0.06
20-08-2015,Bluegape.com,Visual Blogging platform,,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Angel Round,0.06
21-08-2015,ePoise,Job Search Platform,,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Angel Round,0.05
24-08-2015,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,The 1947,Angel Round,0.03
24-08-2015,BookMeIn,Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Angel Round,0.04
25-08-2015,Qyk App,On-Demand App based Professional service provider,,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,0.1
25-08-2015,EazyDiner,Restaurant Reservation Platform,,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,0.3
25-08-2015,RevX,Cross-channel CRM platform,,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,0.4
25-08-2015,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Angel Round,0.03
26-08-2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Angel Round,0.01
26-08-2015,Belita,On-Demand Beauty Service,,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Angel Round,0.04
26-08-2015,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Undisclosed Investor,Angel Round,0.05
28-08-2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,0.2
28-08-2015,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Angel Round,0.02
31-08-2015,DropKaffe,Online Coffee Delivery platform,,Bangalore,"Manish Singhal, P39 Capital & Others",Angel Round,0.03
31-08-2015,Reverie,Language Localization Cloud platform,,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,0.4
07-01-2015,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Angel Round,0.1
07-01-2015,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,"Bessemer Ventures, Kae Capital",Angel Round,0.06
07-01-2015,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,1.35
07-02-2015,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,6
07-02-2015,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,0.5
07-02-2015,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Angel Round,0.02
07-03-2015,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,0.65
07-03-2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Angel Round,0.1
07-04-2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Angel Round,0.04
07-06-2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,3
07-07-2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,0.3
07-07-2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,0.5
